trigger_type,shake_count,shake_intensity,shake_duration_ms,movement_variance,movement_frequency,speed,accuracy,location_available,geofence_violation,distress_voice_detected,recent_automatic_trigger_count,recent_sos_count,seconds_since_previous_trigger,hour_of_day,label
shake,1,4.2,2400,3.1,18.0,1.2,12.0,1,0,0,0,0,9999,10,LOW_RISK
shake,2,8.5,2800,6.4,21.0,1.8,10.0,1,0,0,0,0,9999,18,LOW_RISK
shake,3,13.5,1700,12.0,24.0,0.6,15.0,1,0,0,1,0,9999,21,LOW_RISK
shake,3,15.0,1900,18.0,26.0,0.9,18.0,1,0,0,1,0,9999,22,LOW_RISK
shake,2,11.8,2100,9.5,20.0,8.0,20.0,1,0,0,0,0,9999,16,LOW_RISK
shake,3,14.2,2000,15.0,23.5,13.0,25.0,1,0,0,0,0,9999,14,LOW_RISK
shake,1,6.0,2500,4.5,15.0,0.0,8.0,1,0,0,0,0,9999,8,LOW_RISK
shake,3,16.5,1600,20.0,28.0,1.4,11.0,1,0,0,1,0,9999,19,LOW_RISK
shake,4,18.0,1500,32.0,34.0,1.0,15.0,1,0,0,2,0,90,20,SUSPICIOUS
shake,5,20.0,1300,42.0,38.0,2.5,20.0,1,0,0,2,0,70,23,SUSPICIOUS
shake,4,17.5,1700,36.0,35.0,9.5,24.0,1,0,0,2,0,120,22,SUSPICIOUS
shake,3,16.0,1800,28.0,32.0,0.0,0.0,0,0,0,2,0,80,2,SUSPICIOUS
shake,3,18.5,1600,33.0,31.0,2.0,14.0,1,1,0,1,0,9999,17,SUSPICIOUS
shake,4,21.0,1400,44.0,40.0,14.0,30.0,1,0,0,1,0,9999,20,SUSPICIOUS
shake,5,19.5,1200,47.0,42.0,0.8,12.0,1,0,0,3,0,45,21,SUSPICIOUS
shake,4,17.0,1500,35.0,36.0,1.2,18.0,1,0,1,1,0,9999,18,SUSPICIOUS
shake,6,25.0,900,75.0,55.0,16.0,20.0,1,0,0,3,1,30,23,HIGH_RISK
shake,5,23.0,1000,68.0,50.0,5.5,12.0,1,1,1,2,0,60,22,HIGH_RISK
shake,6,27.5,800,90.0,62.0,12.5,18.0,1,1,0,3,1,25,1,HIGH_RISK
shake,5,24.5,1000,70.0,58.0,3.0,0.0,0,0,1,3,1,40,0,HIGH_RISK
shake,4,22.5,1200,60.0,45.0,18.0,25.0,1,1,0,2,1,50,21,HIGH_RISK
shake,6,26.0,900,85.0,60.0,2.0,14.0,1,0,1,4,1,20,19,HIGH_RISK
shake,5,24.0,1100,74.0,51.0,10.0,22.0,1,0,1,3,0,35,23,HIGH_RISK
shake,7,28.0,700,95.0,68.0,15.0,18.0,1,1,1,4,1,15,2,HIGH_RISK
